article,importance,importance_updated,quality,quality_updated,article_history_link,article_link,article_talk,article_talk_link,title,page_id,ns
Ring chromosome 14 syndrome,Low-Class,2013-03-10T23:06:35Z,C-Class,2017-03-22T01:05:55Z,https://en.wikipedia.org/w/index.php?title=Ring%20chromosome%2014%20syndrome&action=history,https://en.wikipedia.org/w/index.php?title=Ring%20chromosome%2014%20syndrome,Talk:Ring chromosome 14 syndrome,https://en.wikipedia.org/w/index.php?title=Talk:Ring%20chromosome%2014%20syndrome,Ring chromosome 14 syndrome,35643064,0.0
Rozina Ali,Low-Class,2013-08-05T03:12:11Z,C-Class,2013-08-05T03:12:11Z,https://en.wikipedia.org/w/index.php?title=Rozina%20Ali&action=history,https://en.wikipedia.org/w/index.php?title=Rozina%20Ali,Talk:Rozina Ali,https://en.wikipedia.org/w/index.php?title=Talk:Rozina%20Ali,Rozina Ali,38387771,0.0
School of Medicine (Trinity College Dublin),Low-Class,2010-01-03T04:26:46Z,C-Class,2010-01-03T04:26:46Z,https://en.wikipedia.org/w/index.php?title=School%20of%20Medicine%20%28Trinity%20College%20Dublin%29&action=history,https://en.wikipedia.org/w/index.php?title=School%20of%20Medicine%20%28Trinity%20College%20Dublin%29,Talk:School of Medicine (Trinity College Dublin),https://en.wikipedia.org/w/index.php?title=Talk:School%20of%20Medicine%20%28Trinity%20College%20Dublin%29,School of Medicine (Trinity College Dublin),22292384,0.0
Soteria (psychiatric treatment),Low-Class,2021-05-06T19:49:33Z,C-Class,2021-05-06T19:49:33Z,https://en.wikipedia.org/w/index.php?title=Soteria%20%28psychiatric%20treatment%29&action=history,https://en.wikipedia.org/w/index.php?title=Soteria%20%28psychiatric%20treatment%29,Talk:Soteria (psychiatric treatment),https://en.wikipedia.org/w/index.php?title=Talk:Soteria%20%28psychiatric%20treatment%29,Soteria (psychiatric treatment),4341815,0.0
Stephen Gano,Low-Class,2015-06-26T19:48:14Z,C-Class,2015-06-26T19:48:14Z,https://en.wikipedia.org/w/index.php?title=Stephen%20Gano&action=history,https://en.wikipedia.org/w/index.php?title=Stephen%20Gano,Talk:Stephen Gano,https://en.wikipedia.org/w/index.php?title=Talk:Stephen%20Gano,Stephen Gano,25968661,0.0
Steven Libutti,Low-Class,2022-02-18T18:42:38Z,C-Class,2022-02-17T19:27:43Z,https://en.wikipedia.org/w/index.php?title=Steven%20Libutti&action=history,https://en.wikipedia.org/w/index.php?title=Steven%20Libutti,Talk:Steven Libutti,https://en.wikipedia.org/w/index.php?title=Talk:Steven%20Libutti,Steven Libutti,14717585,0.0
Surgeon General of California,Low-Class,2019-03-25T21:31:19Z,C-Class,2024-01-07T19:15:40Z,https://en.wikipedia.org/w/index.php?title=Surgeon%20General%20of%20California&action=history,https://en.wikipedia.org/w/index.php?title=Surgeon%20General%20of%20California,Talk:Surgeon General of California,https://en.wikipedia.org/w/index.php?title=Talk:Surgeon%20General%20of%20California,Surgeon General of California,59814584,0.0
Susan McKinney Steward,Low-Class,2021-10-04T19:31:44Z,C-Class,2021-10-04T19:31:44Z,https://en.wikipedia.org/w/index.php?title=Susan%20McKinney%20Steward&action=history,https://en.wikipedia.org/w/index.php?title=Susan%20McKinney%20Steward,Talk:Susan McKinney Steward,https://en.wikipedia.org/w/index.php?title=Talk:Susan%20McKinney%20Steward,Susan McKinney Steward,6069782,0.0
Taipei Medical University,Low-Class,2017-09-14T05:31:32Z,C-Class,2017-09-14T05:31:32Z,https://en.wikipedia.org/w/index.php?title=Taipei%20Medical%20University&action=history,https://en.wikipedia.org/w/index.php?title=Taipei%20Medical%20University,Talk:Taipei Medical University,https://en.wikipedia.org/w/index.php?title=Talk:Taipei%20Medical%20University,Taipei Medical University,948375,0.0
The Emperor's New Drugs,Low-Class,2014-08-01T03:15:11Z,C-Class,2014-08-01T03:15:11Z,https://en.wikipedia.org/w/index.php?title=The%20Emperor%27s%20New%20Drugs&action=history,https://en.wikipedia.org/w/index.php?title=The%20Emperor%27s%20New%20Drugs,Talk:The Emperor's New Drugs,https://en.wikipedia.org/w/index.php?title=Talk:The%20Emperor%27s%20New%20Drugs,The Emperor's New Drugs,39117056,0.0
Thomas Kennedy Dalziel,Low-Class,2022-09-21T03:36:43Z,C-Class,2022-02-20T19:46:07Z,https://en.wikipedia.org/w/index.php?title=Thomas%20Kennedy%20Dalziel&action=history,https://en.wikipedia.org/w/index.php?title=Thomas%20Kennedy%20Dalziel,Talk:Thomas Kennedy Dalziel,https://en.wikipedia.org/w/index.php?title=Talk:Thomas%20Kennedy%20Dalziel,Thomas Kennedy Dalziel,60356883,0.0
Thousand-yard stare,Low-Class,2024-01-22T18:24:58Z,C-Class,2024-08-14T16:26:36Z,https://en.wikipedia.org/w/index.php?title=Thousand-yard%20stare&action=history,https://en.wikipedia.org/w/index.php?title=Thousand-yard%20stare,Talk:Thousand-yard stare,https://en.wikipedia.org/w/index.php?title=Talk:Thousand-yard%20stare,Thousand-yard stare,1591612,0.0
Timeline of the COVID-19 pandemic in Romania,Low-Class,2020-10-03T03:50:17Z,C-Class,2020-06-23T12:00:43Z,https://en.wikipedia.org/w/index.php?title=Timeline%20of%20the%20COVID-19%20pandemic%20in%20Romania&action=history,https://en.wikipedia.org/w/index.php?title=Timeline%20of%20the%20COVID-19%20pandemic%20in%20Romania,Talk:Timeline of the COVID-19 pandemic in Romania,https://en.wikipedia.org/w/index.php?title=Talk:Timeline%20of%20the%20COVID-19%20pandemic%20in%20Romania,Timeline of the COVID-19 pandemic in Romania,64356037,0.0
Traditional healers of Southern Africa,Low-Class,2017-03-03T13:07:19Z,C-Class,2017-03-03T13:07:19Z,https://en.wikipedia.org/w/index.php?title=Traditional%20healers%20of%20Southern%20Africa&action=history,https://en.wikipedia.org/w/index.php?title=Traditional%20healers%20of%20Southern%20Africa,Talk:Traditional healers of Southern Africa,https://en.wikipedia.org/w/index.php?title=Talk:Traditional%20healers%20of%20Southern%20Africa,Traditional healers of Southern Africa,222757,0.0
Transilvania University of Brașov,Low-Class,2023-10-01T02:32:14Z,C-Class,2023-10-01T02:32:14Z,https://en.wikipedia.org/w/index.php?title=Transilvania%20University%20of%20Bra%C8%99ov&action=history,https://en.wikipedia.org/w/index.php?title=Transilvania%20University%20of%20Bra%C8%99ov,Talk:Transilvania University of Brașov,https://en.wikipedia.org/w/index.php?title=Talk:Transilvania%20University%20of%20Bra%C8%99ov,Transilvania University of Brașov,19729752,0.0
Trauma and PTSD in Asian Americans,Low-Class,2024-05-17T15:28:48Z,C-Class,2024-05-17T20:39:02Z,https://en.wikipedia.org/w/index.php?title=Trauma%20and%20PTSD%20in%20Asian%20Americans&action=history,https://en.wikipedia.org/w/index.php?title=Trauma%20and%20PTSD%20in%20Asian%20Americans,Talk:Trauma and PTSD in Asian Americans,https://en.wikipedia.org/w/index.php?title=Talk:Trauma%20and%20PTSD%20in%20Asian%20Americans,Trauma and PTSD in Asian Americans,69179867,0.0
Vaccine: The Controversial Story of Medicine's Greatest Lifesaver,Low-Class,2015-02-09T18:31:55Z,C-Class,2015-02-09T18:31:55Z,https://en.wikipedia.org/w/index.php?title=Vaccine%3A%20The%20Controversial%20Story%20of%20Medicine%27s%20Greatest%20Lifesaver&action=history,https://en.wikipedia.org/w/index.php?title=Vaccine%3A%20The%20Controversial%20Story%20of%20Medicine%27s%20Greatest%20Lifesaver,Talk:Vaccine: The Controversial Story of Medicine's Greatest Lifesaver,https://en.wikipedia.org/w/index.php?title=Talk:Vaccine%3A%20The%20Controversial%20Story%20of%20Medicine%27s%20Greatest%20Lifesaver,Vaccine: The Controversial Story of Medicine's Greatest Lifesaver,40208289,0.0
Vera Scantlebury Brown,Low-Class,2020-03-08T00:43:55Z,C-Class,2020-03-08T00:43:55Z,https://en.wikipedia.org/w/index.php?title=Vera%20Scantlebury%20Brown&action=history,https://en.wikipedia.org/w/index.php?title=Vera%20Scantlebury%20Brown,Talk:Vera Scantlebury Brown,https://en.wikipedia.org/w/index.php?title=Talk:Vera%20Scantlebury%20Brown,Vera Scantlebury Brown,9584201,0.0
Vladimir Demikhov,Low-Class,2024-02-28T18:48:06Z,C-Class,2020-06-14T21:55:06Z,https://en.wikipedia.org/w/index.php?title=Vladimir%20Demikhov&action=history,https://en.wikipedia.org/w/index.php?title=Vladimir%20Demikhov,Talk:Vladimir Demikhov,https://en.wikipedia.org/w/index.php?title=Talk:Vladimir%20Demikhov,Vladimir Demikhov,6987119,0.0
Wernicke encephalopathy,Low-Class,2011-03-27T14:04:02Z,C-Class,2023-10-12T08:00:11Z,https://en.wikipedia.org/w/index.php?title=Wernicke%20encephalopathy&action=history,https://en.wikipedia.org/w/index.php?title=Wernicke%20encephalopathy,Talk:Wernicke encephalopathy,https://en.wikipedia.org/w/index.php?title=Talk:Wernicke%20encephalopathy,Wernicke encephalopathy,526664,0.0
William James MacNeven,Low-Class,2018-06-06T19:29:59Z,C-Class,2018-06-06T19:29:59Z,https://en.wikipedia.org/w/index.php?title=William%20James%20MacNeven&action=history,https://en.wikipedia.org/w/index.php?title=William%20James%20MacNeven,Talk:William James MacNeven,https://en.wikipedia.org/w/index.php?title=Talk:William%20James%20MacNeven,William James MacNeven,17523302,0.0
William S. Kroger,Low-Class,2022-06-20T19:46:44Z,C-Class,2022-05-05T11:35:43Z,https://en.wikipedia.org/w/index.php?title=William%20S.%20Kroger&action=history,https://en.wikipedia.org/w/index.php?title=William%20S.%20Kroger,Talk:William S. Kroger,https://en.wikipedia.org/w/index.php?title=Talk:William%20S.%20Kroger,William S. Kroger,32960966,0.0
Willowbrook State School,Low-Class,2007-07-12T03:57:03Z,C-Class,2015-02-03T18:02:38Z,https://en.wikipedia.org/w/index.php?title=Willowbrook%20State%20School&action=history,https://en.wikipedia.org/w/index.php?title=Willowbrook%20State%20School,Talk:Willowbrook State School,https://en.wikipedia.org/w/index.php?title=Talk:Willowbrook%20State%20School,Willowbrook State School,724889,0.0
XXXY syndrome,Low-Class,2012-07-24T14:27:23Z,C-Class,2017-12-18T15:49:34Z,https://en.wikipedia.org/w/index.php?title=XXXY%20syndrome&action=history,https://en.wikipedia.org/w/index.php?title=XXXY%20syndrome,Talk:XXXY syndrome,https://en.wikipedia.org/w/index.php?title=Talk:XXXY%20syndrome,XXXY syndrome,36532474,0.0
Young–Simpson syndrome,Low-Class,2008-03-19T20:33:24Z,C-Class,2023-11-07T02:38:54Z,https://en.wikipedia.org/w/index.php?title=Young%E2%80%93Simpson%20syndrome&action=history,https://en.wikipedia.org/w/index.php?title=Young%E2%80%93Simpson%20syndrome,Talk:Young–Simpson syndrome,https://en.wikipedia.org/w/index.php?title=Talk:Young%E2%80%93Simpson%20syndrome,Young–Simpson syndrome,12034538,0.0
Andrea Natale,Unknown-Class,2023-02-14T03:48:56Z,C-Class,2023-03-09T04:16:07Z,https://en.wikipedia.org/w/index.php?title=Andrea%20Natale&action=history,https://en.wikipedia.org/w/index.php?title=Andrea%20Natale,Talk:Andrea Natale,https://en.wikipedia.org/w/index.php?title=Talk:Andrea%20Natale,Andrea Natale,37779273,0.0
Delta Epsilon Mu,Unknown-Class,2024-07-20T01:37:41Z,C-Class,2024-10-24T08:15:33Z,https://en.wikipedia.org/w/index.php?title=Delta%20Epsilon%20Mu&action=history,https://en.wikipedia.org/w/index.php?title=Delta%20Epsilon%20Mu,Talk:Delta Epsilon Mu,https://en.wikipedia.org/w/index.php?title=Talk:Delta%20Epsilon%20Mu,Delta Epsilon Mu,4756527,0.0
Esther Lamm,Unknown-Class,2023-11-12T18:12:38Z,C-Class,2023-11-12T18:12:38Z,https://en.wikipedia.org/w/index.php?title=Esther%20Lamm&action=history,https://en.wikipedia.org/w/index.php?title=Esther%20Lamm,Talk:Esther Lamm,https://en.wikipedia.org/w/index.php?title=Talk:Esther%20Lamm,Esther Lamm,75279839,0.0
Eui-Cheol Shin,Unknown-Class,2023-05-06T11:00:18Z,C-Class,2023-05-06T11:00:18Z,https://en.wikipedia.org/w/index.php?title=Eui-Cheol%20Shin&action=history,https://en.wikipedia.org/w/index.php?title=Eui-Cheol%20Shin,Talk:Eui-Cheol Shin,https://en.wikipedia.org/w/index.php?title=Talk:Eui-Cheol%20Shin,Eui-Cheol Shin,73730127,0.0
Highland PICT Team,Unknown-Class,2022-03-25T18:55:56Z,C-Class,2022-11-28T18:53:06Z,https://en.wikipedia.org/w/index.php?title=Highland%20PICT%20Team&action=history,https://en.wikipedia.org/w/index.php?title=Highland%20PICT%20Team,Talk:Highland PICT Team,https://en.wikipedia.org/w/index.php?title=Talk:Highland%20PICT%20Team,Highland PICT Team,69879616,0.0
San Juan Bautista School of Medicine,Unknown-Class,2024-11-18T18:46:14Z,C-Class,2024-11-18T18:46:14Z,https://en.wikipedia.org/w/index.php?title=San%20Juan%20Bautista%20School%20of%20Medicine&action=history,https://en.wikipedia.org/w/index.php?title=San%20Juan%20Bautista%20School%20of%20Medicine,Talk:San Juan Bautista School of Medicine,https://en.wikipedia.org/w/index.php?title=Talk:San%20Juan%20Bautista%20School%20of%20Medicine,San Juan Bautista School of Medicine,1073031,0.0
Blue baby syndrome,High-Class,2014-12-01T12:06:23Z,Start-Class,2013-06-25T12:04:03Z,https://en.wikipedia.org/w/index.php?title=Blue%20baby%20syndrome&action=history,https://en.wikipedia.org/w/index.php?title=Blue%20baby%20syndrome,Talk:Blue baby syndrome,https://en.wikipedia.org/w/index.php?title=Talk:Blue%20baby%20syndrome,Blue baby syndrome,729431,0.0
Diet (nutrition),High-Class,2008-02-10T04:33:07Z,Start-Class,2008-02-10T04:33:07Z,https://en.wikipedia.org/w/index.php?title=Diet%20%28nutrition%29&action=history,https://en.wikipedia.org/w/index.php?title=Diet%20%28nutrition%29,Talk:Diet (nutrition),https://en.wikipedia.org/w/index.php?title=Talk:Diet%20%28nutrition%29,Diet (nutrition),639924,0.0
Dying,High-Class,2022-02-15T12:21:23Z,Start-Class,2022-02-15T11:51:36Z,https://en.wikipedia.org/w/index.php?title=Dying&action=history,https://en.wikipedia.org/w/index.php?title=Dying,Talk:Dying,https://en.wikipedia.org/w/index.php?title=Talk:Dying,Dying,212879,0.0
2019–2020 United States flu season,Mid-Class,2020-03-16T14:09:28Z,Start-Class,2023-10-04T06:45:29Z,https://en.wikipedia.org/w/index.php?title=2019%E2%80%932020%20United%20States%20flu%20season&action=history,https://en.wikipedia.org/w/index.php?title=2019%E2%80%932020%20United%20States%20flu%20season,Talk:2019–2020 United States flu season,https://en.wikipedia.org/w/index.php?title=Talk:2019%E2%80%932020%20United%20States%20flu%20season,2019–2020 United States flu season,63330457,0.0
Acute myelomonocytic leukemia,Mid-Class,2008-06-01T01:13:28Z,Start-Class,2013-12-04T00:53:35Z,https://en.wikipedia.org/w/index.php?title=Acute%20myelomonocytic%20leukemia&action=history,https://en.wikipedia.org/w/index.php?title=Acute%20myelomonocytic%20leukemia,Talk:Acute myelomonocytic leukemia,https://en.wikipedia.org/w/index.php?title=Talk:Acute%20myelomonocytic%20leukemia,Acute myelomonocytic leukemia,16984662,0.0
Allogeneic cultured keratinocytes and fibroblasts in bovine collagen,Mid-Class,2023-04-24T04:14:43Z,Start-Class,2024-01-07T19:36:04Z,https://en.wikipedia.org/w/index.php?title=Allogeneic%20cultured%20keratinocytes%20and%20fibroblasts%20in%20bovine%20collagen&action=history,https://en.wikipedia.org/w/index.php?title=Allogeneic%20cultured%20keratinocytes%20and%20fibroblasts%20in%20bovine%20collagen,Talk:Allogeneic cultured keratinocytes and fibroblasts in bovine collagen,https://en.wikipedia.org/w/index.php?title=Talk:Allogeneic%20cultured%20keratinocytes%20and%20fibroblasts%20in%20bovine%20collagen,Allogeneic cultured keratinocytes and fibroblasts in bovine collagen,73630369,0.0
Aminoaciduria,Mid-Class,2007-12-02T05:18:28Z,Start-Class,2024-03-11T21:40:33Z,https://en.wikipedia.org/w/index.php?title=Aminoaciduria&action=history,https://en.wikipedia.org/w/index.php?title=Aminoaciduria,Talk:Aminoaciduria,https://en.wikipedia.org/w/index.php?title=Talk:Aminoaciduria,Aminoaciduria,4957376,0.0
Antitoxin,Mid-Class,2008-02-14T07:38:28Z,Start-Class,2017-12-07T20:30:57Z,https://en.wikipedia.org/w/index.php?title=Antitoxin&action=history,https://en.wikipedia.org/w/index.php?title=Antitoxin,Talk:Antitoxin,https://en.wikipedia.org/w/index.php?title=Talk:Antitoxin,Antitoxin,729694,0.0
Auditory verbal agnosia,Mid-Class,2008-08-29T10:53:59Z,Start-Class,2008-08-29T10:53:59Z,https://en.wikipedia.org/w/index.php?title=Auditory%20verbal%20agnosia&action=history,https://en.wikipedia.org/w/index.php?title=Auditory%20verbal%20agnosia,Talk:Auditory verbal agnosia,https://en.wikipedia.org/w/index.php?title=Talk:Auditory%20verbal%20agnosia,Auditory verbal agnosia,3237319,0.0
Autosplenectomy,Mid-Class,2008-03-02T06:22:41Z,Start-Class,2018-11-01T23:20:32Z,https://en.wikipedia.org/w/index.php?title=Autosplenectomy&action=history,https://en.wikipedia.org/w/index.php?title=Autosplenectomy,Talk:Autosplenectomy,https://en.wikipedia.org/w/index.php?title=Talk:Autosplenectomy,Autosplenectomy,1217188,0.0
Axatilimab,Mid-Class,2024-08-15T07:00:29Z,Start-Class,2025-01-07T18:23:24Z,https://en.wikipedia.org/w/index.php?title=Axatilimab&action=history,https://en.wikipedia.org/w/index.php?title=Axatilimab,Talk:Axatilimab,https://en.wikipedia.org/w/index.php?title=Talk:Axatilimab,Axatilimab,77628242,0.0
Bamlanivimab,Mid-Class,2021-02-21T20:02:54Z,Start-Class,2021-02-21T20:02:54Z,https://en.wikipedia.org/w/index.php?title=Bamlanivimab&action=history,https://en.wikipedia.org/w/index.php?title=Bamlanivimab,Talk:Bamlanivimab,https://en.wikipedia.org/w/index.php?title=Talk:Bamlanivimab,Bamlanivimab,66056960,0.0
Bed management in England,Mid-Class,2011-05-09T01:57:06Z,Start-Class,2009-09-15T21:43:33Z,https://en.wikipedia.org/w/index.php?title=Bed%20management%20in%20England&action=history,https://en.wikipedia.org/w/index.php?title=Bed%20management%20in%20England,Talk:Bed management in England,https://en.wikipedia.org/w/index.php?title=Talk:Bed%20management%20in%20England,Bed management in England,17405625,0.0
Bicarbonate buffer system,Mid-Class,2009-03-03T03:38:03Z,Start-Class,2013-07-18T07:50:56Z,https://en.wikipedia.org/w/index.php?title=Bicarbonate%20buffer%20system&action=history,https://en.wikipedia.org/w/index.php?title=Bicarbonate%20buffer%20system,Talk:Bicarbonate buffer system,https://en.wikipedia.org/w/index.php?title=Talk:Bicarbonate%20buffer%20system,Bicarbonate buffer system,9764915,0.0
Blood glucose monitoring,Mid-Class,2007-07-30T15:14:17Z,Start-Class,2007-07-30T15:14:17Z,https://en.wikipedia.org/w/index.php?title=Blood%20glucose%20monitoring&action=history,https://en.wikipedia.org/w/index.php?title=Blood%20glucose%20monitoring,Talk:Blood glucose monitoring,https://en.wikipedia.org/w/index.php?title=Talk:Blood%20glucose%20monitoring,Blood glucose monitoring,56557,0.0
Borrelia,Mid-Class,2017-12-11T02:19:00Z,Start-Class,2008-01-25T01:58:00Z,https://en.wikipedia.org/w/index.php?title=Borrelia&action=history,https://en.wikipedia.org/w/index.php?title=Borrelia,Talk:Borrelia,https://en.wikipedia.org/w/index.php?title=Talk:Borrelia,Borrelia,4920788,0.0
Carcinogenic bacteria,Mid-Class,2009-01-22T10:47:21Z,Start-Class,2009-01-22T10:47:21Z,https://en.wikipedia.org/w/index.php?title=Carcinogenic%20bacteria&action=history,https://en.wikipedia.org/w/index.php?title=Carcinogenic%20bacteria,Talk:Carcinogenic bacteria,https://en.wikipedia.org/w/index.php?title=Talk:Carcinogenic%20bacteria,Carcinogenic bacteria,12026220,0.0
Cetrorelix,Mid-Class,2021-01-31T07:54:05Z,Start-Class,2017-11-25T05:40:15Z,https://en.wikipedia.org/w/index.php?title=Cetrorelix&action=history,https://en.wikipedia.org/w/index.php?title=Cetrorelix,Talk:Cetrorelix,https://en.wikipedia.org/w/index.php?title=Talk:Cetrorelix,Cetrorelix,9543465,0.0
Chemosis,Mid-Class,2007-12-18T20:27:59Z,Start-Class,2014-10-27T23:32:29Z,https://en.wikipedia.org/w/index.php?title=Chemosis&action=history,https://en.wikipedia.org/w/index.php?title=Chemosis,Talk:Chemosis,https://en.wikipedia.org/w/index.php?title=Talk:Chemosis,Chemosis,1222289,0.0
Chin augmentation,Mid-Class,2007-12-10T05:39:25Z,Start-Class,2007-12-10T05:39:25Z,https://en.wikipedia.org/w/index.php?title=Chin%20augmentation&action=history,https://en.wikipedia.org/w/index.php?title=Chin%20augmentation,Talk:Chin augmentation,https://en.wikipedia.org/w/index.php?title=Talk:Chin%20augmentation,Chin augmentation,1505801,0.0
Chronic mountain sickness,Mid-Class,2008-02-02T16:10:48Z,Start-Class,2007-10-18T00:35:29Z,https://en.wikipedia.org/w/index.php?title=Chronic%20mountain%20sickness&action=history,https://en.wikipedia.org/w/index.php?title=Chronic%20mountain%20sickness,Talk:Chronic mountain sickness,https://en.wikipedia.org/w/index.php?title=Talk:Chronic%20mountain%20sickness,Chronic mountain sickness,4092962,0.0
Clindamycin/benzoyl peroxide,Mid-Class,2022-08-26T06:36:56Z,Start-Class,2022-08-26T06:36:56Z,https://en.wikipedia.org/w/index.php?title=Clindamycin/benzoyl%20peroxide&action=history,https://en.wikipedia.org/w/index.php?title=Clindamycin/benzoyl%20peroxide,Talk:Clindamycin/benzoyl peroxide,https://en.wikipedia.org/w/index.php?title=Talk:Clindamycin/benzoyl%20peroxide,Clindamycin/benzoyl peroxide,4040810,0.0
Coffee ground vomiting,Mid-Class,2008-03-19T19:52:23Z,Start-Class,2023-02-28T05:16:44Z,https://en.wikipedia.org/w/index.php?title=Coffee%20ground%20vomiting&action=history,https://en.wikipedia.org/w/index.php?title=Coffee%20ground%20vomiting,Talk:Coffee ground vomiting,https://en.wikipedia.org/w/index.php?title=Talk:Coffee%20ground%20vomiting,Coffee ground vomiting,540226,0.0
Deutetrabenazine,Mid-Class,2020-10-19T01:59:55Z,Start-Class,2018-02-22T18:01:59Z,https://en.wikipedia.org/w/index.php?title=Deutetrabenazine&action=history,https://en.wikipedia.org/w/index.php?title=Deutetrabenazine,Talk:Deutetrabenazine,https://en.wikipedia.org/w/index.php?title=Talk:Deutetrabenazine,Deutetrabenazine,53685766,0.0
Diabetic hypoglycemia,Mid-Class,2008-02-03T04:56:10Z,Start-Class,2008-02-03T04:56:10Z,https://en.wikipedia.org/w/index.php?title=Diabetic%20hypoglycemia&action=history,https://en.wikipedia.org/w/index.php?title=Diabetic%20hypoglycemia,Talk:Diabetic hypoglycemia,https://en.wikipedia.org/w/index.php?title=Talk:Diabetic%20hypoglycemia,Diabetic hypoglycemia,1763662,0.0
Diastasis recti,Mid-Class,2010-12-31T17:56:55Z,Start-Class,2010-12-31T17:56:55Z,https://en.wikipedia.org/w/index.php?title=Diastasis%20recti&action=history,https://en.wikipedia.org/w/index.php?title=Diastasis%20recti,Talk:Diastasis recti,https://en.wikipedia.org/w/index.php?title=Talk:Diastasis%20recti,Diastasis recti,11173456,0.0
Diazoxide,Mid-Class,2019-11-23T00:01:12Z,Start-Class,2019-11-23T00:01:12Z,https://en.wikipedia.org/w/index.php?title=Diazoxide&action=history,https://en.wikipedia.org/w/index.php?title=Diazoxide,Talk:Diazoxide,https://en.wikipedia.org/w/index.php?title=Talk:Diazoxide,Diazoxide,1612851,0.0
Drug-induced angioedema,Mid-Class,2009-02-01T18:43:20Z,Start-Class,2023-10-31T05:50:22Z,https://en.wikipedia.org/w/index.php?title=Drug-induced%20angioedema&action=history,https://en.wikipedia.org/w/index.php?title=Drug-induced%20angioedema,Talk:Drug-induced angioedema,https://en.wikipedia.org/w/index.php?title=Talk:Drug-induced%20angioedema,Drug-induced angioedema,21354336,0.0
El Tor,Mid-Class,2021-10-16T03:59:38Z,Start-Class,2021-10-16T03:59:38Z,https://en.wikipedia.org/w/index.php?title=El%20Tor&action=history,https://en.wikipedia.org/w/index.php?title=El%20Tor,Talk:El Tor,https://en.wikipedia.org/w/index.php?title=Talk:El%20Tor,El Tor,206969,0.0
Emergency Use Authorization,Mid-Class,2021-03-02T03:11:34Z,Start-Class,2021-03-02T03:11:34Z,https://en.wikipedia.org/w/index.php?title=Emergency%20Use%20Authorization&action=history,https://en.wikipedia.org/w/index.php?title=Emergency%20Use%20Authorization,Talk:Emergency Use Authorization,https://en.wikipedia.org/w/index.php?title=Talk:Emergency%20Use%20Authorization,Emergency Use Authorization,22608128,0.0
Ephedra (plant),Mid-Class,2021-06-23T18:22:33Z,Start-Class,2021-06-23T18:22:33Z,https://en.wikipedia.org/w/index.php?title=Ephedra%20%28plant%29&action=history,https://en.wikipedia.org/w/index.php?title=Ephedra%20%28plant%29,Talk:Ephedra (plant),https://en.wikipedia.org/w/index.php?title=Talk:Ephedra%20%28plant%29,Ephedra (plant),5095984,0.0
Erythroderma,Mid-Class,2008-08-20T05:05:21Z,Start-Class,2013-06-26T11:57:07Z,https://en.wikipedia.org/w/index.php?title=Erythroderma&action=history,https://en.wikipedia.org/w/index.php?title=Erythroderma,Talk:Erythroderma,https://en.wikipedia.org/w/index.php?title=Talk:Erythroderma,Erythroderma,2294802,0.0
Expressive language disorder,Mid-Class,2008-01-17T05:37:13Z,Start-Class,2013-07-19T15:20:09Z,https://en.wikipedia.org/w/index.php?title=Expressive%20language%20disorder&action=history,https://en.wikipedia.org/w/index.php?title=Expressive%20language%20disorder,Talk:Expressive language disorder,https://en.wikipedia.org/w/index.php?title=Talk:Expressive%20language%20disorder,Expressive language disorder,862904,0.0
Familial dysbetalipoproteinemia,Mid-Class,2009-05-28T16:04:11Z,Start-Class,2013-07-19T15:25:35Z,https://en.wikipedia.org/w/index.php?title=Familial%20dysbetalipoproteinemia&action=history,https://en.wikipedia.org/w/index.php?title=Familial%20dysbetalipoproteinemia,Talk:Familial dysbetalipoproteinemia,https://en.wikipedia.org/w/index.php?title=Talk:Familial%20dysbetalipoproteinemia,Familial dysbetalipoproteinemia,22992227,0.0
Fluid replacement,Mid-Class,2012-06-06T14:06:08Z,Start-Class,2013-07-05T11:25:54Z,https://en.wikipedia.org/w/index.php?title=Fluid%20replacement&action=history,https://en.wikipedia.org/w/index.php?title=Fluid%20replacement,Talk:Fluid replacement,https://en.wikipedia.org/w/index.php?title=Talk:Fluid%20replacement,Fluid replacement,301110,0.0
Gemtuzumab ozogamicin,Mid-Class,2020-02-29T09:23:00Z,Start-Class,2020-02-29T09:23:00Z,https://en.wikipedia.org/w/index.php?title=Gemtuzumab%20ozogamicin&action=history,https://en.wikipedia.org/w/index.php?title=Gemtuzumab%20ozogamicin,Talk:Gemtuzumab ozogamicin,https://en.wikipedia.org/w/index.php?title=Talk:Gemtuzumab%20ozogamicin,Gemtuzumab ozogamicin,2921579,0.0
Guttate psoriasis,Mid-Class,2009-01-15T00:43:25Z,Start-Class,2022-09-14T03:04:00Z,https://en.wikipedia.org/w/index.php?title=Guttate%20psoriasis&action=history,https://en.wikipedia.org/w/index.php?title=Guttate%20psoriasis,Talk:Guttate psoriasis,https://en.wikipedia.org/w/index.php?title=Talk:Guttate%20psoriasis,Guttate psoriasis,21099851,0.0
Health physics,Mid-Class,2008-01-21T23:20:53Z,Start-Class,2008-01-21T23:20:53Z,https://en.wikipedia.org/w/index.php?title=Health%20physics&action=history,https://en.wikipedia.org/w/index.php?title=Health%20physics,Talk:Health physics,https://en.wikipedia.org/w/index.php?title=Talk:Health%20physics,Health physics,545525,0.0
